Branch office code,BIC code,Name of the branch office,Address of the branch office,Branch office may send VIBER items,Branch office may receive VIBER items
10101487,MKKBHUHB,MBH 101 Északpesti 2,"1138 Budapest, Váci út 193.",S,R
10101494,MKKBHUHB,MBH 101 Árkád,"1106 Budapest, Kerepesi út 61.",S,R
10101511,MKKBHUHB,MBH 101 Devizakönyvelés,"1138 Budapest, Váci út 193.",,R
10101528,MKKBHUHB,MBH Bank Nyrt. - Zenit Corso,"1147 Budapest, Csömöri út 13.",S,R
10101535,MKKBHUHB,MBH 101 Bartók Béla út,"1114 Budapest, Bartók Béla út 41.",S,R
10101542,MKKBHUHB,MBH 101 MOM,"1123 Budapest, Alkotás utca 53.",S,R
10101559,MKKBHUHB,MBH 101 Mamut,"1024 Budapest, Lövőház utca 2-6.",S,R
10101566,MKKBHUHB,MBH 101 Váci Greens,"1138 Budapest, Váci út 117.",S,R
10101580,MKKBHUHB,MBH 101 Budai Privátbanki Központ,"1126 Budapest, Nagy Jenő utca 12.",S,R
10101597,MKKBHUHB,MBH 101 Integrált Szolg. Kp.,"1056 Budapest, Váci utca 38.",S,R
10102086,MKKBHUHB,MBH 101 Belváros,"1065 Budapest, Bajcsy-Zsilinszky út 5.",S,R
10102093,MKKBHUHB,MBH 101 Délbuda,"1119 Budapest, Etele út 57.",S,R
10102103,MKKBHUHB,MBH 101 Óbuda,"1023 Budapest, Lajos utca 30.",S,R
10102237,MKKBHUHB,MBH 101 Rákosszentmihály,"1162 Budapest, Rákosi út 128.",S,R
10102244,MKKBHUHB,MBH 101 Északpest,"1138 Budapest, Váci út 193.",S,R
10102440,MKKBHUHB,MBH 101 Pécs,"7621 Pécs, Rákóczi út 60.",S,R
10102529,MKKBHUHB,MBH 101 Kecskemét,"6000 Kecskemét, Nagykőrösi utca 2.",S,R
10102543,MKKBHUHB,MBH 101 Kiskörős,"6200 Kiskőrös, Petőfi Sándor tér 18.",S,R
10102615,MKKBHUHB,MBH 101 Békéscsaba,"5600 Békéscsaba, Andrássy út 18.",S,R
10102718,MKKBHUHB,MBH 101 Miskolc,"3530 Miskolc, Széchenyi István út 46.",S,R
10102770,MKKBHUHB,MBH 101 Tiszaújváros,"3580 Tiszaújváros, Kazinczy út 12.",S,R
10102842,MKKBHUHB,MBH 101 Szeged,"6720 Szeged, Klauzál tér 4.",S,R
10102914,MKKBHUHB,MBH 101 Bicske,"2060 Bicske, Kossuth tér 7.",S,R
10102952,MKKBHUHB,MBH 101 Székesfehérvár,"8000 Székesfehérvár, Bástya utca 10.",S,R
10102969,MKKBHUHB,MBH 101 Dunaújváros,"2400 Dunaújváros, Dózsa György út 4/B.",S,R
10103056,MKKBHUHB,MBH 101 Rákoskeresztúr,"1173 Budapest, Pesti út 159-163.",S,R
10103104,MKKBHUHB,MBH 101 Nyugati tér,"1132 Budapest, Nyugati tér 4-5.",S,R
10103173,MKKBHUHB,MBH 101 Lipótváros,"1055 Budapest, Kossuth Lajos tér 10.",S,R
10103214,MKKBHUHB,MBH 101 Kaposvár,"7400 Kaposvár, Fő utca 3.",S,R
10103379,MKKBHUHB,MBH 101 Győr,"9021 Győr, Bajcsy-Zsilinszky út 36.",S,R
10103386,MKKBHUHB,MBH 101 Sopron,"9400 Sopron, Várkerület 77.",S,R
10103434,MKKBHUHB,MBH 101 Debrecen,"4024 Debrecen, Vár utca 6/A.",S,R
10103513,MKKBHUHB,MBH 101 Eger,"3300 Eger, Almagyar utca 5.",S,R
10103551,MKKBHUHB,MBH 101 Gyöngyös,"3200 Gyöngyös, Fő tér 19.",S,R
10103623,MKKBHUHB,MBH 101 Tatabánya,"2800 Tatabánya, Szent Borbála tér 6.",S,R
10103661,MKKBHUHB,MBH 101 Esztergom,"2500 Esztergom, Kossuth Lajos utca 14-18.",S,R
10103719,MKKBHUHB,MBH 101 Balassagyarmat,"2660 Balassagyarmat, Rákóczi fejedelem út 14.",S,R
10103726,MKKBHUHB,MBH 101 Salgótarján,"3100 Salgótarján, Losonci utca 2.",S,R
10103788,MKKBHUHB,MBH 101 Balatonboglár,"8630 Balatonboglár, Sétáló utca 3.",S,R
10103805,MKKBHUHB,MBH 101 Dél-Budai Igazgatóság,"1119 Budapest, Etele út 57.",S,R
10103812,MKKBHUHB,MBH 101 Cegléd,"2700 Cegléd, Rákóczi út 2.",S,R
10103829,MKKBHUHB,MBH 101 Dabas,"2370 Dabas, Falu Tamás utca 4.",S,R
10103836,MKKBHUHB,MBH 101 Gödöllő,"2100 Gödöllő, Kossuth Lajos utca 13.",S,R
10103843,MKKBHUHB,MBH 101 Monor,"2200 Monor, Kossuth Lajos utca 73.",S,R
10103850,MKKBHUHB,MBH 101 Szigetszentmiklós,"2310 Szigetszentmiklós, Losonczi utca 1.",S,R
10103867,MKKBHUHB,MBH 101 Ráckeve,"2300 Ráckeve, Kossuth Lajos utca 47.",S,R
10103874,MKKBHUHB,MBH 101 Szentendre,"2000 Szentendre, Duna korzó 18.",S,R
10103881,MKKBHUHB,MBH 101 Pestszentlőrinc,"1184 Budapest, Üllői út 396.",S,R
10103898,MKKBHUHB,MBH 101 Vác,"2600 Vác, Köztársaság út 10.",S,R
10104105,MKKBHUHB,MBH 101 Budagyöngye,"1026 Budapest, Pázsit utca 2.",S,R
10104167,MKKBHUHB,MBH 101 Pestszenterzsébet,"1203 Budapest, Török Flóris utca 70.",S,R
10104260,MKKBHUHB,MBH 101 Jászberény,"5100 Jászberény, Lehel vezér tér 32-33.",S,R
10104459,MKKBHUHB,MBH 101 Nyíregyháza,"4400 Nyíregyháza, Kossuth tér 3.",S,R
10104552,MKKBHUHB,MBH 101 Debreceni3,"4024 Debrecen, Vár utca 6/A.",S,R
10104569,MKKBHUHB,MBH 101 Szolnok,"5000 Szolnok, Hősök tere 1.",S,R
10104617,MKKBHUHB,MBH 101 Szekszárd,"7100 Szekszárd, Arany János utca 23-25.",S,R
10104789,MKKBHUHB,MBH 101 Szombathely,"9700 Szombathely, Kőszegi utca 3/A.",S,R
10104820,MKKBHUHB,MBH 101 Veszprém,"8200 Veszprém, Mindszenty József utca 7.",S,R
10104961,MKKBHUHB,MBH 101 Zalaegerszeg,"8900 Zalaegerszeg, Kossuth Lajos utca 2.",S,R
